,model_name,fold,accuracy,vectorizer,method
1,SVC,1,0.7719404798056484,count,stem
2,SVC,2,0.7758882477983602,count,stem
3,SVC,3,0.7576677801396903,count,stem
4,SVC,4,0.7777102945642271,count,stem
5,SVC,5,0.767010935601458,count,stem
6,SVC,6,0.7767314702308628,count,stem
7,SVC,7,0.767010935601458,count,stem
8,SVC,8,0.7746051032806804,count,stem
9,SVC,9,0.7809842041312273,count,stem
10,Logisitc,0,0.7874278773155178,count,stem
11,Logisitc,1,0.7904646219252961,count,stem
12,Logisitc,2,0.7986638323716976,count,stem
13,Logisitc,3,0.7862131794716064,count,stem
14,Logisitc,4,0.7989675068326754,count,stem
15,Logisitc,5,0.792831105710814,count,stem
16,Logisitc,6,0.7913122721749696,count,stem
17,Logisitc,7,0.7876670716889429,count,stem
18,Logisitc,8,0.8001215066828675,count,stem
19,Logisitc,9,0.7894896719319563,count,stem
20,NaiveBayes,0,0.6735499544488308,count,stem
21,NaiveBayes,1,0.6793197692074097,count,stem
22,NaiveBayes,2,0.689644700880656,count,stem
23,NaiveBayes,3,0.6677801396902521,count,stem
24,NaiveBayes,4,0.6747646522927422,count,stem
25,NaiveBayes,5,0.6691980558930741,count,stem
26,NaiveBayes,6,0.6619076549210207,count,stem
27,NaiveBayes,7,0.6713244228432563,count,stem
28,NaiveBayes,8,0.6767922235722965,count,stem
29,NaiveBayes,9,0.681044957472661,count,stem
30,RandomForest,0,0.7591861524445794,count,stem
31,RandomForest,1,0.7594898269055572,count,stem
32,RandomForest,2,0.7673853628909809,count,stem
33,RandomForest,3,0.7558457333738232,count,stem
34,RandomForest,4,0.7658669905860918,count,stem
35,RandomForest,5,0.7648845686512759,count,stem
36,RandomForest,6,0.7618469015795869,count,stem
37,RandomForest,7,0.7609356014580801,count,stem
38,RandomForest,8,0.7624544349939246,count,stem
39,RandomForest,9,0.7667071688942891,count,stem
0,SVC,0,0.7947160643789857,tfidf,none
1,SVC,1,0.8065593683571212,tfidf,none
2,SVC,2,0.7956270877619193,tfidf,none
3,SVC,3,0.8077740662010325,tfidf,none
4,SVC,4,0.8059520194351655,tfidf,none
5,SVC,5,0.8025516403402188,tfidf,none
6,SVC,6,0.8010328068043743,tfidf,none
7,SVC,7,0.8013365735115431,tfidf,none
8,SVC,8,0.7964763061968408,tfidf,none
9,SVC,9,0.7979951397326853,tfidf,none
10,Logisitc,0,0.778013969025205,tfidf,none
11,Logisitc,1,0.7843911327057395,tfidf,none
12,Logisitc,2,0.7813543880959611,tfidf,none
13,Logisitc,3,0.7859095050106286,tfidf,none
14,Logisitc,4,0.7874278773155178,tfidf,none
15,Logisitc,5,0.7885783718104495,tfidf,none
16,Logisitc,6,0.7925273390036452,tfidf,none
17,Logisitc,7,0.7897934386391251,tfidf,none
18,Logisitc,8,0.7864520048602673,tfidf,none
19,Logisitc,9,0.7791616038882139,tfidf,none
20,NaiveBayes,0,0.6434861828120255,tfidf,none
21,NaiveBayes,1,0.6471302763437595,tfidf,none
22,NaiveBayes,2,0.6349832979046462,tfidf,none
23,NaiveBayes,3,0.6471302763437595,tfidf,none
24,NaiveBayes,4,0.6422714849681141,tfidf,none
25,NaiveBayes,5,0.6400364520048603,tfidf,none
26,NaiveBayes,6,0.6385176184690158,tfidf,none
27,NaiveBayes,7,0.6342648845686513,tfidf,none
28,NaiveBayes,8,0.6260631834750912,tfidf,none
29,NaiveBayes,9,0.6409477521263669,tfidf,none
30,RandomForest,0,0.7285150318858185,tfidf,none
31,RandomForest,1,0.7224415426662618,tfidf,none
32,RandomForest,2,0.7321591254175523,tfidf,none
33,RandomForest,3,0.7233525660491953,tfidf,none
34,RandomForest,4,0.7361068934102643,tfidf,none
35,RandomForest,5,0.7439246658566221,tfidf,none
36,RandomForest,6,0.7311664641555286,tfidf,none
37,RandomForest,7,0.7287363304981774,tfidf,none
38,RandomForest,8,0.7311664641555286,tfidf,none
39,RandomForest,9,0.7302551640340219,tfidf,none
0,SVC,0,0.7865168539325843,count,none
1,SVC,1,0.7916793197692074,count,none
2,SVC,2,0.7901609474643182,count,none
3,SVC,3,0.7983601579107197,count,none
4,SVC,4,0.7931976920740965,count,none
5,SVC,5,0.7943499392466585,count,none
6,SVC,6,0.7913122721749696,count,none
7,SVC,7,0.7943499392466585,count,none
8,SVC,8,0.784325637910085,count,none
9,SVC,9,0.7840218712029161,count,none
10,Logisitc,0,0.7907682963862739,count,none
11,Logisitc,1,0.8062556938961434,count,none
12,Logisitc,2,0.8007895535985423,count,none
13,Logisitc,3,0.808685089583966,count,none
14,Logisitc,4,0.8083814151229881,count,none
15,Logisitc,5,0.7967800729040098,count,none
16,Logisitc,6,0.8077156743620899,count,none
17,Logisitc,7,0.8019441069258809,count,none
18,Logisitc,8,0.7925273390036452,count,none
19,Logisitc,9,0.7940461725394897,count,none
20,NaiveBayes,0,0.6814454904342545,count,none
21,NaiveBayes,1,0.686000607348922,count,none
22,NaiveBayes,2,0.6762830245976313,count,none
23,NaiveBayes,3,0.6908593987245673,count,none
24,NaiveBayes,4,0.6784087458244762,count,none
25,NaiveBayes,5,0.6856014580801945,count,none
26,NaiveBayes,6,0.6819562575941677,count,none
27,NaiveBayes,7,0.6722357229647631,count,none
28,NaiveBayes,8,0.6701093560145808,count,none
29,NaiveBayes,9,0.6789185905224787,count,none
30,RandomForest,0,0.7470391740054662,count,none
31,RandomForest,1,0.7461281506225327,count,none
32,RandomForest,2,0.745520801700577,count,none
33,RandomForest,3,0.7515942909201336,count,none
34,RandomForest,4,0.7661706650470695,count,none
35,RandomForest,5,0.7679222357229648,count,none
36,RandomForest,6,0.7651883353584447,count,none
37,RandomForest,7,0.753037667071689,count,none
38,RandomForest,8,0.7621506682867558,count,none
39,RandomForest,9,0.7503037667071689,count,none
